Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Литвин,Ада,Олегівна,Жіноча,10-09-1993,Каскадер,селище Зимогір'я,"парк Кодимський, буд. 686 кв. 56, Кобеляки, 94328",604 89 71,feofan09@example.net
Байда,Опанас,Сергійович,Чоловіча,07-02-1953,Геолог,хутір Прилуки,"набережна Князівська, буд. 6, Любомль, 59575",+380 88 485 29 80,khomafartushniak@example.com
Сірченко,Єфрем,Олегович,Чоловіча,16-05-1954,Бухгалтер,місто Ізмаїл,"парк Ланжеронівський узвіз, буд. 45 кв. 12, Тальне, 21367",+380 58 790-46-72,hennadiitymchuk@example.com
Вишняк,Маруся,Євгенівна,Жіноча,24-11-1966,Підприємець,місто Соледар,"провулок Андрія Гулого-Гуленка, буд. 644 кв. 180, Чернівці, 71532",+380 08 627 26 74,panashavrysh@example.org
Корсун,Іван,Володимирович,Чоловіча,12-10-2001,Архітектор,місто Сіверськодонецьк,"сквер Немировича-Данченка, буд. 5 кв. 3, Липовець, 88999",+380 72 271 98 81,adamzhalilo@example.com
Конопленко,Ігор,Павлович,Чоловіча,26-06-1977,Реставратор,місто Роздільна,"набережна Деволанівська, буд. 4 кв. 72, Носівка, 84975",+380 92 296-64-99,bohdannarak@example.com
Мамчур,Герман,Борисович,Чоловіча,15-05-1981,Електрик,хутір Угнів,"вулиця Добровольців, буд. 65, Кропивницький, 37008",756 73 86,xredko@example.com
Скопенко,Клавдія,Михайлівна,Жіноча,02-11-1990,Епідеміолог,хутір Зимогір'я,"площа Канатний, буд. 5, Боярка, 46159",+380 97 203 88 89,bohodardemianchuk@example.net
Авдєєнко,Олександр,Романович,Чоловіча,14-01-1967,Мистецтвознавець,село Борщів,"провулок Вокзальний, буд. 9 кв. 6, Таврійськ, 82402",499-32-28,szhalilo@example.com
Швайка,Владислав,Євгенович,Чоловіча,26-12-1947,Громадський діяч,селище Ніжин,"набережна Житомирський 4-й, буд. 045, Рубіжне, 21409",+380 40 676 05 66,iukhymskyba@example.com
Філіпенко,Климент,Андрійович,Чоловіча,30-08-1948,М'ясник,селище Ананьїв,"площа Немировича-Данченка, буд. 2, Лисичанськ, 08088",642 38 42,karmaliukmykhailo@example.org
Ярош,Ганна,Олегівна,Жіноча,15-02-1982,Клоун,селище Гайсин,"узвіз Дорожня, буд. 3, Волочиськ, 27011",051 326 80 07,bohdanna20@example.org
Бездітко,Орина,Петрівна,Жіноча,08-07-1939,Фармацевт,село Керч,"провулок Балтський 1-й, буд. 61 кв. 669, Середина-Буда, 63612",+380 (35) 538-18-51,barabashmaksym@example.org
Масоха,Семен,Степанович,Чоловіча,24-09-1985,Льотчик,хутір Теплодар,"парк Партизанської слави, буд. 28, Дубно, 93300",+380 57 807 96 62,ashvaika@example.net
Смик,Семен,Володимирович,Чоловіча,20-02-1953,Єгер,хутір Добромиль,"парк Тупиковий 2-й, буд. 6 кв. 6, Гола Пристань, 93436",530 79 38,vlasenkoarkadii@example.com
Шамрай,Ярина,Григорівна,Жіноча,24-11-1983,Електротехнік,село Марганець,"площа Вінницька, буд. 625 кв. 02, Ірпінь, 61430",+380 76 149-88-84,chumaksymon@example.com
Кибкало,Марина,Максимівна,Жіноча,19-12-1964,Юрист,село Новояворівськ,"провулок Лінія 45-та, буд. 90, Берегове, 89394",290-30-44,zlupii@example.com
Чубай,Марія,Борисівна,Жіноча,17-04-1939,Бібліотекар,хутір Щастя,"набережна Клинова, буд. 4 кв. 5, Болград, 88836",+380 53 020-13-69,vlesyk@example.org
Оліфіренко,Болеслав,Тарасович,Чоловіча,01-01-1989,Стропальник,місто Слов'янськ,"провулок Запорізька, буд. 5 кв. 7, Херсон, 34230",875 08 68,ievaveres@example.com
Ажажа,Давид,Степанович,Чоловіча,26-09-1961,Няня,місто Свалява,"вулиця Балтський 4-й, буд. 0, Самбір, 79791",+380 29 598-95-13,abarabash@example.com
Артюх,Роман,Григорович,Чоловіча,30-06-1974,Маркетолог,селище Кодима,"сквер Соляний 4-й, буд. 40 кв. 60, Прип'ять, 99397",+380 92 356 51 26,ciarosh@example.net
Теличенко,Макар,Максимович,Чоловіча,15-04-2005,Няня,селище Решетилівка,"площа Бориса Едуардса, буд. 53 кв. 258, Брянка, 90127",052 59 93,alla52@example.com
Зінченко,Мілена,Миколаївна,Жіноча,28-04-1959,Програміст,хутір Старокостянтинів,"сквер Інглезі, буд. 881, Камінь-Каширський, 70390",544 42 74,orobetsiakiv@example.org
Гайдай,Ярема,Сергійович,Чоловіча,30-07-1994,Паблік рилейшнз,місто Обухів,"набережна Каркашадзе, буд. 26, Татарбунари, 75885",+380 57 516 59 97,barabashonysym@example.net
Якименко,Симон,Євгенович,Чоловіча,13-11-1988,Кур'єр,хутір Шепетівка,"парк тупик Хвиля, буд. 204 кв. 6, Яворів, 29489",+380 (30) 942-36-89,petroavramenko@example.net
Зінкевич,Зорян,Іванович,Чоловіча,07-10-2001,Будник,місто Пологи,"шосе Болградська, буд. 635 кв. 553, Стрий, 54882",+380 20 550-07-05,isavenko@example.com
Козак,Данна,Степанівна,Жіноча,18-09-1958,Кушнір,селище Старобільськ,"проспект Луцька, буд. 55, Радивилів, 25524",018 907-00-39,iakivshvaika@example.net
Джунь,Ольга,Михайлівна,Жіноча,27-07-1950,Продюсер,селище Великі Мости,"шосе Одарія, буд. 08 кв. 63, Борщів, 82220",209 34 90,ada17@example.org
Василевич,Клавдія,Миколаївна,Жіноча,22-05-1955,Кінорежисер,селище Рівне,"проспект Пилипа Орлика, буд. 0, Прилуки, 27528",+380 88 341-35-55,ustenkovasyl@example.net
Самойленко,Костянтин,Тарасович,Чоловіча,20-12-1963,Етнограф,селище Марганець,"проспект Контрадмірала Остроградського, буд. 609 кв. 780, Курахове, 11405",+380 07 624 42 88,galaganbohdanna@example.org
Гресь,Гліб,Григорович,Чоловіча,23-04-2001,Державний службовець,місто Сорокине,"сквер Лютеранський, буд. 133, Сокиряни, 36884",457-18-82,symon80@example.net
Височан,Тетяна,Дмитрівна,Жіноча,13-01-2007,Драматург,місто Тетіїв,"вулиця Молокова, буд. 3, Федорівка, 72511",084 673-24-55,makarartymyshyn@example.com
Ткач,Світлана,Василівна,Жіноча,26-08-1978,Електрослюсар,село Вільногірськ,"сквер Буковецького, буд. 585 кв. 917, Городенка, 99489",957-55-15,bohdancharnysh@example.com
Артим,Тарас,Сергійович,Чоловіча,18-02-1983,Юрист,селище Балаклія,"вулиця Водопровідна, буд. 15 кв. 713, Очаків, 04575",002 511-03-74,tkacheduard@example.com
